Model,Round,AvgF1,client1(f1),client1(loss),client2(f1),client2(loss),client3(f1),client3(loss),client4(f1),client4(loss),client5(f1),client5(loss)
*mlp,1,0.02667,0.00000,0.76512,0.00000,0.58342,0.13333,0.51714,0.00000,0.09832,0.00000,0.58938
*mlp,2,0.42470,0.00000,0.88667,0.16000,0.75774,0.13333,0.51714,0.90909,0.10049,0.92105,0.52219
*mlp,3,0.57929,0.28571,0.89592,0.16000,0.75774,0.66667,0.59133,0.90909,0.23738,0.87500,0.45318
*mlp,4,0.63000,0.50000,0.93169,0.16000,0.97404,0.72727,0.35950,0.90909,0.23738,0.85366,0.40844
*mlp,5,0.77401,0.61538,0.89989,0.46667,0.89826,1.00000,0.25469,0.95652,0.23738,0.83146,0.37872
mlp,6,0.75025,0.61538,0.89989,0.35714,0.96053,1.00000,0.24994,0.95652,0.15715,0.82222,0.27794
mlp,7,0.72675,0.66667,0.87738,0.29630,0.96053,0.83333,0.20441,0.95652,0.16705,0.88095,0.28910
mlp,8,0.72675,0.66667,0.89550,0.29630,0.96053,0.83333,0.20210,0.95652,0.21795,0.88095,0.27719
mlp,9,0.72999,0.61538,0.91077,0.35714,1.05162,0.88000,0.23542,0.95652,0.22482,0.84091,0.27719
mlp,10,0.72810,0.61538,0.92169,0.35714,0.92926,0.88000,0.14956,0.95652,0.22482,0.83146,0.27129
mlp,11,0.72999,0.61538,0.95192,0.35714,0.92926,0.88000,0.21850,0.95652,0.23394,0.84091,0.32036
mlp,12,0.74845,0.61538,0.94524,0.35714,0.92926,1.00000,0.23783,0.95652,0.23524,0.81319,0.29209
mlp,13,0.74668,0.61538,0.95807,0.35714,0.95585,1.00000,0.11412,0.95652,0.23524,0.80435,0.32967
mlp,14,0.74925,0.61538,1.01665,0.35714,0.82310,1.00000,0.09436,0.95652,0.23524,0.81720,0.28941
mlp,15,0.75884,0.61538,1.01665,0.41379,0.99741,1.00000,0.09501,0.95652,0.20360,0.80851,0.30757
mlp,16,0.74845,0.61538,1.01832,0.35714,0.89140,1.00000,0.09817,0.95652,0.20558,0.81319,0.30757
mlp,17,0.74845,0.61538,1.08653,0.35714,0.89140,1.00000,0.09711,0.95652,0.20097,0.81319,0.30362
mlp,18,0.74668,0.61538,1.04524,0.35714,0.89140,1.00000,0.10136,0.95652,0.20443,0.80435,0.29696
mlp,19,0.74925,0.61538,1.11705,0.35714,0.97961,1.00000,0.08848,0.95652,0.19757,0.81720,0.29696
mlp,20,0.74925,0.61538,1.17563,0.35714,0.68529,1.00000,0.07175,0.95652,0.20032,0.81720,0.29696
*mlp,21,0.80073,0.80000,1.16280,0.41379,0.73257,1.00000,0.06458,0.95652,0.20032,0.83333,0.29435
*mlp,22,0.80073,0.80000,1.16280,0.41379,1.00148,1.00000,0.07163,0.95652,0.19625,0.83333,0.30847
*mlp,23,0.80073,0.80000,1.16280,0.41379,0.87530,1.00000,0.07679,0.95652,0.18812,0.83333,0.30656
*mlp,24,0.80073,0.80000,1.24105,0.41379,0.87530,1.00000,0.07748,0.95652,0.19653,0.83333,0.31710
mlp,25,0.74925,0.61538,1.19231,0.35714,0.87530,1.00000,0.08057,0.95652,0.19274,0.81720,0.32219
mlp,26,0.75025,0.61538,1.19231,0.35714,1.23691,1.00000,0.07478,0.95652,0.18761,0.82222,0.30294
mlp,27,0.75210,0.61538,1.19231,0.35714,0.94210,1.00000,0.06314,0.95652,0.19596,0.83146,0.31504
mlp,28,0.75210,0.61538,1.19231,0.35714,0.63362,1.00000,0.06651,0.95652,0.19355,0.83146,0.32268
mlp,29,0.75210,0.61538,1.21886,0.35714,0.63362,1.00000,0.08151,0.95652,0.18716,0.83146,0.24772
mlp,30,0.76417,0.61538,1.23603,0.41379,1.20233,1.00000,0.09352,0.95652,0.18716,0.83516,0.24763
mlp,31,0.76236,0.61538,1.23603,0.41379,1.15984,1.00000,0.09004,0.95652,0.17904,0.82609,0.32321
mlp,32,0.76058,0.61538,1.20517,0.41379,1.15984,1.00000,0.08824,0.95652,0.18302,0.81720,0.32848
mlp,33,0.76058,0.61538,1.22144,0.41379,1.15984,1.00000,0.08215,0.95652,0.17226,0.81720,0.33136
mlp,34,0.76236,0.61538,1.19386,0.41379,1.15984,1.00000,0.08333,0.95652,0.17813,0.82609,0.35474
mlp,35,0.75884,0.61538,1.19386,0.41379,0.93788,1.00000,0.08201,0.95652,0.17640,0.80851,0.35211
mlp,36,0.75884,0.61538,1.20553,0.41379,1.05928,1.00000,0.07986,0.95652,0.17640,0.80851,0.33480
mlp,37,0.75884,0.61538,1.24474,0.41379,1.23329,1.00000,0.07427,0.95652,0.17781,0.80851,0.33480
mlp,38,0.77715,0.61538,1.24474,0.51613,1.22791,1.00000,0.07607,0.97872,0.14995,0.77551,0.34762
mlp,39,0.77715,0.61538,1.24474,0.51613,0.31963,1.00000,0.08256,0.97872,0.15894,0.77551,0.34960
mlp,40,0.77875,0.61538,1.25264,0.51613,0.56962,1.00000,0.08256,0.97872,0.19403,0.78351,0.34200
mlp,41,0.76236,0.61538,1.14611,0.41379,0.45415,1.00000,0.08256,0.95652,0.20325,0.82609,0.34016
mlp,42,0.76532,0.61538,1.14611,0.41379,0.77757,1.00000,0.08912,0.95652,0.16821,0.84091,0.33235
mlp,43,0.76532,0.61538,1.22107,0.41379,0.89351,1.00000,0.10158,0.95652,0.17041,0.84091,0.33235
mlp,44,0.76532,0.61538,1.24680,0.41379,1.34771,1.00000,0.10923,0.95652,0.17041,0.84091,0.34815
mlp,45,0.78464,0.61538,1.26353,0.51613,0.44422,1.00000,0.09757,0.95652,0.17041,0.83516,0.31891
mlp,46,0.77401,0.61538,1.26353,0.46667,1.78806,1.00000,0.07521,0.95652,0.16079,0.83146,0.32305
mlp,47,0.76058,0.61538,1.29692,0.41379,0.91253,1.00000,0.07521,0.95652,0.22730,0.81720,0.27053
